Sr. No.,EmpID,Attendance Code,FName,Branch Code,Department Name,Division Name,Grade Code,Designation Name,Direct/Indirect,Roster,Attendance Date,In Time,Out Time,Total Hours,OT Hours,Late Hours,Application Status,Final Status,Attendance Type
8115,43722,43722,Nathan Davidson,P005,HR,Support,C2,Supervisor,t,Working Day (G),25/02/2025,06:31 AM,12:56 AM,6.67,0.64,0.14,,Leave,Half Day
8116,32980,32980,Tracy Smith,P004,Quality,Manufacturing,C5,DM,t,Holiday,02/03/2025,07:08 AM,01:39 PM,7.85,1.79,0.48,,Present,Half Day
8117,32285,32285,Lee Marshall,P002,HR,Accounting,C3,DM,t,Weekend,28/02/2025,08:27 PM,02:21 AM,8.72,1.17,0.86,,Present,Leave
8118,35266,35266,Sarah Peterson,P004,IT,Recruitment,C4,Manager,t,Weekend,05/03/2025,10:02 AM,05:23 PM,7.84,0.32,0.04,,Absent Half Day,Leave
8119,46693,46693,Douglas Ross,P005,Finance,Accounting,C1,Engineer,t,Weekend,07/03/2025,05:33 AM,09:30 AM,8.42,0.27,0.78,,Absent,Leave
8120,38165,38165,Hannah Jones,P002,IT,Recruitment,C4,Supervisor,t,Holiday,15/03/2025,06:23 AM,07:53 AM,8.77,1.61,0.01,,Absent Half Day,Leave
8121,34266,34266,Richard Mccoy,P004,Quality,Accounting,C1,Manager,t,Weekend,09/03/2025,01:41 PM,05:39 PM,7.17,0.11,0.47,,Present,Full Day
8122,31452,31452,Gail Davis,P004,IT,Support,C5,Engineer,t,Weekend,26/02/2025,03:34 PM,09:59 AM,7.93,0.36,0.8,,Present,Half Day
8123,33927,33927,Donald Rosario,P005,HR,Recruitment,C1,Supervisor,t,Working Day (G),18/03/2025,11:03 PM,06:13 AM,6.64,0.37,0.26,,Absent,Leave
8124,43402,43402,Richard Stewart,P001,Finance,Recruitment,C5,DM,t,Weekend,18/03/2025,07:28 AM,10:36 PM,6.47,1.21,0.47,,Present,Full Day
8125,45931,45931,Ricky Lucas,P005,Quality,Support,C1,Engineer,t,Working Day (G),02/03/2025,09:47 PM,10:12 AM,6.01,1.77,0.04,,Present,Half Day
8126,46644,46644,Karen Price,P001,Finance,Warranty,C4,Manager,t,Working Day (G),21/03/2025,04:44 AM,02:12 AM,8.64,0.47,0.12,,Present,Leave
8127,30807,30807,Dominic Horn,P002,Quality,Manufacturing,C4,DM,t,Weekend,26/02/2025,01:11 PM,12:08 AM,8.73,0.97,0.23,,Leave,Half Day
8128,39664,39664,Adam Kelley,P005,IT,Accounting,C2,Executive,t,Holiday,27/02/2025,02:43 AM,03:22 PM,7.61,1.4,0.91,,Leave,Full Day
8129,41668,41668,Dennis Martinez,P002,HR,Recruitment,C3,DM,t,Holiday,04/03/2025,03:57 AM,02:55 PM,6.34,1.5,0.37,,Absent Half Day,Half Day
8130,49497,49497,Jeffrey Shaw,P005,IT,Accounting,C4,Supervisor,t,Working Day (G),03/03/2025,09:02 PM,10:16 PM,7.03,0.81,0.22,,Absent Half Day,Full Day
8131,48662,48662,Ann Mccullough,P004,IT,Recruitment,C4,Engineer,t,Working Day (G),12/03/2025,03:52 AM,04:43 AM,6.03,0.72,0.33,,Present,Half Day
8132,39428,39428,Nicole Collier,P005,Quality,Accounting,C5,Executive,t,Weekend,11/03/2025,10:15 PM,09:52 PM,8.53,0.84,0.64,,Leave,Half Day
8133,39986,39986,Jean Wright,P003,Production,Accounting,C3,DM,t,Holiday,26/02/2025,07:26 AM,10:48 AM,6.9,0.77,0.93,,Absent,Half Day
8134,39075,39075,James Thomas,P001,Finance,Manufacturing,C4,Supervisor,t,Weekend,11/03/2025,05:03 PM,01:24 PM,7.19,0.22,0.58,,Leave,Leave
8135,33976,33976,Alexander Walter,P004,IT,Accounting,C4,Executive,t,Weekend,11/03/2025,10:23 AM,11:04 AM,6.0,0.4,0.3,,Absent,Leave
8136,45829,45829,Daniel Johnson,P001,Finance,Manufacturing,C3,Executive,t,Working Day (G),17/03/2025,06:53 PM,06:01 PM,6.42,1.21,0.55,,Absent Half Day,Leave
8137,44572,44572,Jeanette Curtis,P005,Quality,Accounting,C3,Manager,t,Holiday,08/03/2025,08:15 PM,03:19 AM,8.75,1.24,0.24,,Absent,Leave
8138,48232,48232,Sara Mcneil,P003,Production,Recruitment,C1,Manager,t,Holiday,04/03/2025,04:38 PM,09:25 PM,6.92,0.63,0.1,,Leave,Full Day
8139,46372,46372,Jessica Mclaughlin,P003,Production,Support,C1,Supervisor,t,Holiday,07/03/2025,08:13 PM,01:06 AM,6.61,0.63,0.66,,Leave,Leave
8140,44139,44139,Susan Huynh,P003,Production,Warranty,C1,Supervisor,t,Working Day (G),10/03/2025,05:17 PM,12:15 PM,7.81,1.5,0.37,,Absent,Leave
8141,48682,48682,Angelica Davila,P001,Finance,Support,C3,Manager,t,Weekend,07/03/2025,12:31 PM,04:14 PM,7.73,0.47,0.67,,Leave,Leave
8142,36841,36841,Megan Berger,P001,Quality,Recruitment,C4,Engineer,t,Working Day (G),06/03/2025,03:14 AM,01:45 AM,6.8,1.96,0.29,,Leave,Leave
8143,40015,40015,James Phillips,P004,Production,Manufacturing,C4,Manager,t,Working Day (G),01/03/2025,09:41 PM,09:21 AM,6.96,0.05,0.17,,Present,Full Day
8144,37731,37731,Brandi Davidson,P005,IT,Accounting,C2,DM,t,Weekend,28/02/2025,11:09 PM,07:34 PM,7.55,0.68,0.17,,Present,Leave
8145,33608,33608,Matthew Mclaughlin,P002,IT,Warranty,C3,Manager,t,Weekend,14/03/2025,06:43 PM,12:59 AM,8.77,0.7,0.23,,Absent,Full Day
8146,31583,31583,Mark Kim,P003,IT,Manufacturing,C4,Executive,t,Holiday,12/03/2025,04:15 PM,07:47 AM,8.63,1.03,0.15,,Leave,Leave
8147,33064,33064,Jennifer Scott,P004,Production,Support,C3,Manager,t,Holiday,11/03/2025,08:56 PM,09:47 AM,6.2,0.77,0.02,,Leave,Leave
8148,40228,40228,Sean Maldonado,P004,HR,Manufacturing,C5,Manager,t,Weekend,26/02/2025,12:34 PM,08:06 PM,7.53,1.72,0.91,,Present,Half Day
8149,33698,33698,Reginald Woodward,P005,Quality,Warranty,C2,DM,t,Weekend,19/03/2025,11:26 PM,07:03 PM,7.4,0.62,0.22,,Absent,Half Day
8150,34667,34667,Robin Anderson,P002,Quality,Recruitment,C3,Engineer,t,Weekend,25/02/2025,06:45 PM,06:18 AM,8.38,1.95,0.83,,Absent Half Day,Full Day
8151,36745,36745,Dana Ramirez,P001,Finance,Manufacturing,C4,DM,t,Weekend,08/03/2025,01:23 PM,01:13 PM,7.52,1.15,0.16,,Present,Full Day
8152,38260,38260,Michael Villegas,P003,HR,Recruitment,C4,Engineer,t,Weekend,24/02/2025,05:05 AM,08:03 AM,7.17,1.91,0.13,,Present,Leave
8153,39612,39612,Sandra Schultz,P001,HR,Recruitment,C2,Executive,t,Working Day (G),14/03/2025,10:33 PM,08:12 AM,7.35,0.54,0.66,,Present,Leave
8154,39113,39113,Jennifer Jones,P001,HR,Support,C3,DM,t,Holiday,21/03/2025,06:08 PM,07:01 PM,7.52,1.16,0.67,,Present,Full Day
8155,38916,38916,Michael Cohen,P003,Quality,Accounting,C4,Supervisor,t,Holiday,24/03/2025,08:09 AM,03:01 AM,8.24,1.04,0.5,,Present,Half Day
8156,47725,47725,Christina Romero,P004,Finance,Manufacturing,C2,Executive,t,Working Day (G),14/03/2025,02:25 PM,10:21 PM,8.74,1.15,0.23,,Present,Full Day
8157,40111,40111,Joseph Jones,P005,Production,Accounting,C3,DM,t,Weekend,18/03/2025,09:19 PM,05:38 AM,8.42,0.17,0.99,,Absent Half Day,Leave
8158,45817,45817,Joel Nicholson,P004,HR,Support,C1,Supervisor,t,Holiday,11/03/2025,02:56 AM,11:47 AM,8.49,1.57,0.01,,Absent,Half Day
8159,34593,34593,Pamela Griffin,P002,IT,Manufacturing,C1,Executive,t,Holiday,07/03/2025,06:17 PM,02:34 PM,8.59,1.64,0.95,,Absent Half Day,Full Day
8160,32082,32082,Christopher Hester,P001,Quality,Manufacturing,C4,DM,t,Working Day (G),13/03/2025,10:10 AM,04:45 AM,8.28,1.83,0.7,,Absent Half Day,Full Day
8161,35427,35427,Heather Carr,P004,IT,Recruitment,C3,Executive,t,Weekend,12/03/2025,12:10 PM,01:39 PM,8.77,1.37,0.24,,Present,Full Day
8162,45634,45634,Robert Wiggins,P005,Quality,Warranty,C5,Engineer,t,Working Day (G),11/03/2025,12:34 PM,06:33 AM,7.88,0.39,0.9,,Absent,Half Day
8163,38231,38231,Jade Taylor,P002,Finance,Warranty,C1,Engineer,t,Weekend,19/03/2025,03:15 PM,02:34 PM,6.3,0.93,0.29,,Absent Half Day,Leave
8164,47942,47942,Michelle Solomon,P002,Production,Accounting,C3,Manager,t,Holiday,06/03/2025,01:57 AM,12:11 AM,7.83,1.15,0.94,,Absent Half Day,Full Day
8165,38680,38680,Terri Murray,P004,Finance,Recruitment,C5,Engineer,t,Weekend,22/03/2025,03:36 AM,04:23 AM,7.39,1.74,0.7,,Leave,Half Day
8166,35867,35867,David Scott,P001,IT,Recruitment,C4,DM,t,Working Day (G),28/02/2025,03:59 AM,03:35 PM,8.85,1.13,0.0,,Present,Leave
8167,48568,48568,Michael Hill,P001,IT,Recruitment,C5,Manager,t,Weekend,25/03/2025,01:24 AM,08:39 PM,7.49,1.87,0.94,,Leave,Full Day
8168,44338,44338,Kevin Warren,P005,Finance,Accounting,C1,DM,t,Holiday,13/03/2025,02:01 PM,05:21 AM,8.75,0.2,0.51,,Present,Leave
8169,42812,42812,Kathryn Thomas,P004,IT,Recruitment,C4,Executive,t,Working Day (G),26/02/2025,02:59 PM,04:27 PM,6.03,0.93,0.52,,Present,Leave
8170,48458,48458,Krystal Poole,P001,Quality,Manufacturing,C2,Supervisor,t,Weekend,24/02/2025,05:51 AM,06:11 PM,7.65,1.22,0.69,,Present,Leave
8171,38944,38944,Paula Bridges,P005,Production,Recruitment,C3,Manager,t,Weekend,25/02/2025,02:29 PM,01:33 AM,8.22,0.7,0.35,,Absent,Leave
8172,36533,36533,Mary Mayer,P003,IT,Recruitment,C5,Engineer,t,Holiday,04/03/2025,05:52 AM,03:36 PM,7.14,0.04,0.86,,Absent,Half Day
8173,40182,40182,Linda Rodriguez,P002,Finance,Recruitment,C4,Executive,t,Holiday,08/03/2025,09:18 PM,07:37 PM,7.04,0.74,0.03,,Absent,Full Day
8174,40885,40885,Derek Harrison,P002,IT,Manufacturing,C3,Supervisor,t,Holiday,07/03/2025,06:29 AM,06:16 PM,8.08,0.77,0.35,,Absent,Half Day
8175,33642,33642,Shirley Mcneil,P004,Production,Recruitment,C3,Engineer,t,Weekend,26/02/2025,03:59 PM,08:26 PM,6.44,0.17,0.27,,Absent Half Day,Leave
8176,34724,34724,Carrie Hopkins,P002,Finance,Recruitment,C3,Executive,t,Weekend,12/03/2025,12:22 AM,02:06 AM,6.87,0.08,0.76,,Absent Half Day,Half Day
8177,45275,45275,Rebekah Williams,P002,Quality,Manufacturing,C5,DM,t,Weekend,24/03/2025,10:53 PM,05:39 AM,8.76,0.93,0.57,,Absent Half Day,Full Day
8178,40243,40243,Jonathan Davis,P004,Production,Warranty,C2,Manager,t,Working Day (G),24/02/2025,05:37 AM,10:46 AM,8.53,1.87,0.34,,Leave,Leave
8179,30284,30284,Thomas Morris,P004,Production,Manufacturing,C2,Executive,t,Working Day (G),21/03/2025,06:14 AM,02:44 PM,6.23,1.85,0.79,,Present,Half Day
8180,47319,47319,Jacqueline Woodard,P005,IT,Support,C3,Manager,t,Working Day (G),12/03/2025,09:46 AM,08:29 PM,6.63,0.91,0.52,,Absent Half Day,Full Day
8181,37380,37380,Alexander Burke,P001,Production,Warranty,C5,DM,t,Weekend,08/03/2025,09:51 PM,10:06 AM,6.0,1.04,0.13,,Leave,Leave
8182,30698,30698,Thomas Taylor,P003,HR,Warranty,C5,Supervisor,t,Working Day (G),09/03/2025,06:43 PM,07:53 AM,6.59,1.15,0.22,,Absent Half Day,Leave
8183,30488,30488,Cynthia Allen,P003,Finance,Manufacturing,C2,Manager,t,Working Day (G),03/03/2025,02:22 PM,04:18 PM,8.47,0.45,0.28,,Absent Half Day,Half Day
8184,42420,42420,Kevin Cox,P005,IT,Support,C4,Engineer,t,Holiday,06/03/2025,12:30 AM,12:08 PM,8.23,1.54,0.16,,Leave,Full Day
8185,36360,36360,Kristina Moreno,P002,HR,Manufacturing,C1,DM,t,Weekend,24/03/2025,03:59 AM,11:27 PM,8.69,0.01,0.66,,Leave,Leave
8186,36052,36052,James Berry,P005,HR,Manufacturing,C3,Manager,t,Holiday,01/03/2025,04:07 AM,11:58 PM,6.87,0.62,0.54,,Absent Half Day,Leave
8187,38474,38474,Daniel Perez,P005,Quality,Recruitment,C5,Engineer,t,Working Day (G),15/03/2025,04:14 PM,09:03 PM,8.1,1.59,0.66,,Leave,Full Day
8188,30858,30858,Joshua Martinez,P002,Production,Accounting,C1,DM,t,Holiday,12/03/2025,03:18 AM,02:38 AM,8.72,1.13,0.12,,Absent,Leave
8189,48548,48548,Emily Gonzalez,P004,Quality,Manufacturing,C4,DM,t,Working Day (G),17/03/2025,08:56 AM,03:03 AM,7.59,1.75,0.28,,Leave,Half Day
8190,39148,39148,Elizabeth Gaines,P001,IT,Support,C2,Executive,t,Working Day (G),24/02/2025,01:17 AM,04:53 AM,6.7,0.93,0.19,,Leave,Half Day
8191,33466,33466,Andrew Wright,P002,Finance,Warranty,C3,Manager,t,Working Day (G),08/03/2025,05:12 AM,01:10 AM,7.51,0.9,0.72,,Leave,Full Day
8192,34843,34843,Anita Ball,P001,HR,Recruitment,C3,Manager,t,Weekend,26/02/2025,11:38 PM,05:57 AM,6.39,1.57,0.96,,Leave,Full Day
8193,39907,39907,Joshua Holt,P001,Finance,Support,C2,Supervisor,t,Working Day (G),02/03/2025,04:34 AM,03:55 AM,6.5,0.31,0.33,,Leave,Half Day
8194,37668,37668,James Padilla,P003,HR,Accounting,C1,Manager,t,Holiday,07/03/2025,10:40 AM,06:38 PM,8.75,1.07,0.09,,Leave,Leave
8195,32659,32659,Joshua Ferguson,P001,Production,Manufacturing,C1,Supervisor,t,Weekend,25/02/2025,08:41 PM,02:08 PM,6.23,0.06,0.93,,Present,Leave
8196,37524,37524,Matthew Anthony,P003,IT,Warranty,C4,Supervisor,t,Weekend,22/03/2025,05:32 PM,08:44 AM,6.41,1.58,0.4,,Present,Full Day
8197,43824,43824,Jared George,P002,Quality,Warranty,C1,Supervisor,t,Weekend,10/03/2025,05:14 AM,07:28 PM,8.37,1.66,0.33,,Present,Half Day
8198,36979,36979,Christopher Molina,P001,Quality,Manufacturing,C1,Executive,t,Holiday,27/02/2025,12:19 AM,06:13 AM,6.02,1.35,0.43,,Absent,Full Day
8199,49531,49531,Katrina Benson,P001,IT,Manufacturing,C2,Manager,t,Holiday,25/02/2025,11:41 PM,03:40 AM,6.39,0.14,0.37,,Leave,Half Day
8200,41578,41578,Lindsay Cunningham,P005,Production,Recruitment,C2,Executive,t,Working Day (G),13/03/2025,05:12 AM,07:34 PM,7.62,0.78,0.42,,Absent,Leave
8201,48130,48130,Michelle Orozco,P002,IT,Manufacturing,C4,Supervisor,t,Working Day (G),22/03/2025,11:12 AM,04:54 PM,8.76,1.1,0.08,,Absent Half Day,Half Day
8202,49333,49333,Rebecca Jones,P005,Production,Recruitment,C4,Executive,t,Holiday,21/03/2025,01:06 PM,04:41 AM,8.98,0.28,0.62,,Absent Half Day,Leave
8203,32459,32459,Andrew Howard,P001,Production,Manufacturing,C1,Engineer,t,Working Day (G),24/02/2025,03:17 AM,09:39 PM,6.68,1.52,0.88,,Leave,Leave
8204,44860,44860,Edward Mendez,P004,Quality,Accounting,C5,Engineer,t,Holiday,17/03/2025,03:34 PM,10:56 AM,8.18,1.07,0.38,,Leave,Half Day
8205,39699,39699,Jeremy Wright,P005,Production,Warranty,C5,Executive,t,Weekend,03/03/2025,08:33 PM,08:50 PM,8.59,0.21,0.59,,Absent Half Day,Leave
8206,47174,47174,Seth Weaver,P001,Finance,Recruitment,C3,Supervisor,t,Working Day (G),25/03/2025,12:53 PM,11:42 AM,6.79,0.6,0.99,,Absent Half Day,Half Day
8207,40238,40238,Amanda Williams,P002,IT,Warranty,C1,DM,t,Working Day (G),05/03/2025,01:31 PM,03:10 PM,8.9,0.6,0.4,,Present,Leave
8208,38686,38686,Patty Clark,P003,Quality,Support,C4,Executive,t,Working Day (G),09/03/2025,07:15 PM,06:28 PM,8.87,0.2,0.33,,Absent Half Day,Leave
8209,49253,49253,Jerry Solomon,P002,Production,Support,C2,DM,t,Working Day (G),08/03/2025,01:45 PM,06:41 AM,8.11,1.73,0.21,,Present,Half Day
8210,37350,37350,Raymond Sandoval,P002,Production,Support,C3,Supervisor,t,Working Day (G),26/02/2025,08:51 PM,05:43 PM,7.84,1.11,0.02,,Absent Half Day,Half Day
8211,45765,45765,John Martinez,P005,HR,Recruitment,C3,Executive,t,Working Day (G),19/03/2025,10:52 AM,08:41 PM,6.47,1.02,0.54,,Leave,Leave
8212,46654,46654,Christopher Frank,P003,Quality,Manufacturing,C1,Manager,t,Holiday,14/03/2025,02:43 AM,08:49 AM,7.3,0.05,0.29,,Absent Half Day,Full Day
8213,43289,43289,Tracie Miller,P003,HR,Manufacturing,C3,Executive,t,Holiday,18/03/2025,10:34 PM,12:20 PM,6.27,0.72,0.76,,Absent Half Day,Leave
8214,45096,45096,Donna Brown,P003,Quality,Manufacturing,C5,DM,t,Holiday,17/03/2025,02:50 AM,01:58 AM,8.39,0.91,0.64,,Leave,Half Day
8215,31689,31689,Dennis Williams,P001,Finance,Manufacturing,C2,Engineer,t,Holiday,01/03/2025,08:07 AM,05:38 AM,8.31,0.94,0.12,,Leave,Half Day
8216,47047,47047,Tara Jackson,P003,Production,Manufacturing,C4,Engineer,t,Holiday,25/03/2025,04:17 PM,06:16 PM,8.58,1.05,0.01,,Absent,Half Day
8217,33027,33027,Carly Wright,P001,Finance,Manufacturing,C5,DM,t,Weekend,08/03/2025,06:25 AM,11:30 PM,7.93,0.28,0.8,,Absent Half Day,Half Day
8218,49847,49847,Alex Patel,P001,IT,Warranty,C4,Executive,t,Working Day (G),02/03/2025,07:03 AM,08:38 PM,8.38,1.78,0.89,,Absent Half Day,Leave
8219,49096,49096,John Lynch,P004,Finance,Accounting,C4,Supervisor,t,Working Day (G),08/03/2025,06:16 AM,11:09 AM,8.39,1.08,0.38,,Leave,Full Day
8220,38466,38466,Denise Knight,P001,Production,Support,C3,DM,t,Working Day (G),25/03/2025,06:10 PM,10:08 AM,6.92,0.9,0.5,,Absent Half Day,Full Day
8221,32273,32273,Nicole White,P001,IT,Support,C3,Manager,t,Working Day (G),10/03/2025,01:51 PM,06:16 AM,7.87,1.98,0.86,,Leave,Leave
8222,49347,49347,Sherri Contreras,P005,Quality,Warranty,C4,Manager,t,Working Day (G),23/03/2025,01:57 AM,09:23 AM,8.67,1.08,0.06,,Present,Leave
8223,30125,30125,Bradley Hill,P001,IT,Manufacturing,C1,Supervisor,t,Working Day (G),22/03/2025,06:10 PM,07:35 PM,8.49,1.61,0.97,,Leave,Half Day
8224,46914,46914,Michael Clark,P001,Quality,Accounting,C2,Executive,t,Holiday,15/03/2025,09:26 AM,04:38 PM,8.62,1.18,0.77,,Leave,Leave
8225,30367,30367,Samantha Davis,P004,Finance,Warranty,C1,DM,t,Weekend,23/03/2025,12:33 PM,09:14 AM,6.34,1.02,0.7,,Present,Full Day
8226,42430,42430,Richard Benton,P002,Production,Accounting,C5,Supervisor,t,Working Day (G),13/03/2025,11:29 AM,10:09 PM,8.53,0.6,0.78,,Absent Half Day,Leave
8227,38279,38279,Kathryn Lucas,P001,Quality,Support,C4,Supervisor,t,Working Day (G),26/02/2025,02:24 AM,12:13 PM,6.79,1.63,0.08,,Leave,Full Day
8228,37305,37305,Noah Martin,P005,IT,Support,C2,Executive,t,Working Day (G),03/03/2025,09:01 AM,02:54 AM,6.85,0.88,0.41,,Present,Full Day
8229,41655,41655,Jacob Roach,P001,Production,Recruitment,C1,DM,t,Holiday,10/03/2025,03:31 PM,09:47 PM,7.52,1.59,0.38,,Present,Half Day
8230,31723,31723,John Brown,P004,IT,Accounting,C5,Supervisor,t,Weekend,24/02/2025,03:18 AM,02:54 PM,6.09,1.53,0.77,,Absent Half Day,Full Day
8231,36183,36183,Daniel Conway,P004,IT,Warranty,C5,Manager,t,Holiday,16/03/2025,02:05 AM,05:21 PM,7.83,0.76,0.75,,Absent Half Day,Half Day
8232,30477,30477,Jason Evans,P003,Quality,Accounting,C4,Engineer,t,Working Day (G),23/03/2025,07:17 AM,10:55 AM,8.59,1.64,0.59,,Absent,Leave
8233,46068,46068,Mackenzie Schmidt,P005,IT,Accounting,C3,Executive,t,Working Day (G),09/03/2025,04:01 AM,08:22 AM,6.57,0.9,0.4,,Leave,Full Day
8234,33041,33041,Yolanda Hill,P004,Quality,Recruitment,C4,DM,t,Weekend,24/03/2025,01:20 AM,11:42 PM,7.0,0.4,0.14,,Present,Full Day
8235,41526,41526,Sue Owen,P003,HR,Warranty,C5,Manager,t,Working Day (G),24/03/2025,01:55 PM,11:36 AM,7.2,0.33,0.89,,Leave,Full Day
8236,41915,41915,Derrick Kelley,P004,HR,Manufacturing,C5,Executive,t,Holiday,23/03/2025,05:34 AM,09:19 PM,7.55,0.73,0.98,,Present,Full Day
8237,40616,40616,Gregory Pena,P003,Finance,Recruitment,C3,Supervisor,t,Holiday,27/02/2025,09:01 PM,07:40 AM,6.65,0.84,0.29,,Absent,Half Day
8238,32158,32158,Sarah Stewart,P002,Production,Support,C1,Executive,t,Working Day (G),13/03/2025,02:10 PM,08:24 AM,7.37,1.15,0.82,,Absent,Leave
8239,36034,36034,Stacy Griffin,P004,HR,Support,C5,Engineer,t,Working Day (G),08/03/2025,02:50 PM,01:56 AM,6.06,0.37,0.9,,Absent Half Day,Leave
8240,40885,40885,Michael Johnson,P003,Production,Recruitment,C2,Executive,t,Weekend,08/03/2025,07:41 PM,06:22 AM,7.08,1.56,0.07,,Absent,Leave
8241,38219,38219,Tammie Figueroa,P004,HR,Recruitment,C2,DM,t,Holiday,14/03/2025,10:56 PM,05:45 AM,8.3,0.33,0.77,,Present,Leave
8242,35121,35121,Terry Webb,P004,IT,Support,C3,Manager,t,Weekend,05/03/2025,05:34 AM,06:00 PM,8.36,0.38,0.59,,Leave,Half Day
8243,33214,33214,Timothy Wilson,P005,IT,Manufacturing,C4,Executive,t,Holiday,28/02/2025,01:01 AM,09:46 AM,8.32,0.62,0.39,,Absent Half Day,Leave
8244,46076,46076,Kelli Rowe,P001,Production,Manufacturing,C2,Engineer,t,Weekend,20/03/2025,06:12 PM,08:11 AM,7.85,0.04,0.27,,Leave,Half Day
8245,34449,34449,Laura Stevenson,P003,Quality,Warranty,C5,DM,t,Weekend,14/03/2025,12:37 AM,11:05 AM,6.38,0.23,0.23,,Present,Half Day
8246,48278,48278,William Young,P003,IT,Manufacturing,C3,Executive,t,Weekend,28/02/2025,08:37 PM,02:50 PM,8.72,1.63,0.21,,Absent,Half Day
8247,43020,43020,Thomas Schaefer,P005,HR,Warranty,C5,Executive,t,Working Day (G),09/03/2025,07:18 PM,08:38 AM,6.99,0.55,0.9,,Present,Leave
8248,45016,45016,Tina Lee,P002,IT,Accounting,C4,Manager,t,Working Day (G),10/03/2025,11:37 PM,10:25 AM,8.93,1.94,0.28,,Leave,Leave
8249,46242,46242,Alejandro Morse,P005,Production,Recruitment,C2,Supervisor,t,Weekend,17/03/2025,06:05 AM,07:53 PM,7.6,0.07,0.62,,Present,Full Day
8250,37933,37933,Steven Rosales,P001,Production,Recruitment,C3,Manager,t,Working Day (G),23/03/2025,11:35 AM,09:55 AM,8.37,0.12,0.95,,Absent Half Day,Full Day
8251,42684,42684,Pamela Bridges,P002,Finance,Recruitment,C1,Supervisor,t,Working Day (G),08/03/2025,03:06 PM,07:19 PM,6.21,1.89,0.52,,Present,Full Day
8252,42609,42609,Amanda Hill,P002,Quality,Accounting,C5,Supervisor,t,Holiday,25/02/2025,04:25 PM,02:06 AM,8.01,1.28,0.55,,Absent Half Day,Leave
8253,30879,30879,Andrew Ramirez,P004,IT,Manufacturing,C2,Manager,t,Working Day (G),22/03/2025,06:13 AM,05:54 PM,7.28,0.02,0.52,,Absent,Half Day
8254,43855,43855,Rachel Hendricks,P004,HR,Recruitment,C5,DM,t,Weekend,12/03/2025,02:22 PM,01:41 PM,7.24,1.7,0.23,,Present,Leave
8255,42026,42026,Melissa Barrett,P004,Quality,Recruitment,C3,Manager,t,Working Day (G),20/03/2025,01:52 AM,09:49 AM,7.5,1.87,0.85,,Absent,Half Day
8256,30091,30091,Sandra Jimenez,P005,IT,Warranty,C4,Supervisor,t,Holiday,25/02/2025,01:25 PM,02:46 PM,6.2,0.67,0.46,,Absent,Leave
8257,35725,35725,Jessica Gonzales,P005,Production,Accounting,C4,Supervisor,t,Weekend,24/03/2025,11:41 PM,04:24 AM,7.48,0.38,0.7,,Absent Half Day,Full Day
8258,42971,42971,Victor Davis,P002,HR,Recruitment,C3,DM,t,Holiday,02/03/2025,03:44 AM,04:52 AM,6.15,1.86,0.37,,Absent Half Day,Leave
8259,35737,35737,Michelle Sutton,P005,IT,Warranty,C2,Supervisor,t,Working Day (G),21/03/2025,01:40 AM,08:42 PM,6.35,0.51,0.31,,Leave,Full Day
8260,31497,31497,Diane Stevenson,P005,HR,Warranty,C4,Manager,t,Holiday,03/03/2025,08:53 PM,09:32 AM,8.73,0.09,0.54,,Absent,Half Day
8261,45046,45046,Haley Hodges,P005,HR,Manufacturing,C3,Executive,t,Holiday,19/03/2025,12:21 AM,03:37 PM,6.55,1.41,0.02,,Present,Full Day
8262,45609,45609,Cynthia Baker,P005,Quality,Recruitment,C1,DM,t,Working Day (G),23/03/2025,05:04 AM,10:15 PM,7.63,0.27,0.45,,Present,Leave
8263,31135,31135,Tonya Campos,P005,HR,Recruitment,C2,DM,t,Holiday,02/03/2025,10:01 AM,11:35 PM,8.9,0.17,0.4,,Absent Half Day,Half Day
8264,33819,33819,Lisa Wright,P005,Quality,Accounting,C2,Manager,t,Working Day (G),05/03/2025,10:28 PM,08:38 AM,6.8,0.27,0.62,,Absent Half Day,Half Day
8265,39739,39739,Erin Perry,P003,IT,Manufacturing,C2,Supervisor,t,Holiday,06/03/2025,11:01 AM,03:00 PM,7.01,1.38,0.45,,Present,Leave
8266,46288,46288,Jared Jennings,P002,IT,Recruitment,C5,Supervisor,t,Weekend,17/03/2025,10:50 PM,10:54 AM,7.05,0.39,0.48,,Present,Full Day
8267,49670,49670,Susan Thompson,P002,Finance,Manufacturing,C1,Engineer,t,Weekend,04/03/2025,04:42 AM,04:33 AM,8.92,1.41,0.13,,Absent,Leave
8268,37242,37242,Dana Hawkins,P003,Finance,Warranty,C4,Engineer,t,Holiday,16/03/2025,08:15 PM,09:42 PM,6.89,1.35,0.91,,Absent,Half Day
8269,40209,40209,Christine Maldonado,P005,HR,Accounting,C3,Supervisor,t,Weekend,22/03/2025,03:25 PM,08:26 PM,6.05,1.62,0.84,,Leave,Full Day
8270,46191,46191,Mark Chan,P001,Finance,Accounting,C4,Manager,t,Weekend,15/03/2025,04:31 AM,02:13 AM,6.83,1.56,0.68,,Leave,Full Day
8271,36194,36194,Johnny Hughes,P003,Quality,Support,C5,Manager,t,Working Day (G),27/02/2025,01:46 PM,01:10 PM,7.34,1.32,0.43,,Present,Full Day
8272,32061,32061,Chris Taylor,P002,IT,Warranty,C5,Engineer,t,Weekend,17/03/2025,01:18 PM,03:54 AM,6.7,1.1,0.35,,Leave,Full Day
